,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
6764,12000314,JD175120,2020-03-05T14:58:00.000,083XX S ADA ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,0613,006,21,71,05,1168782,1849443,2020,2020-03-12T15:47:33.000,41.742390026,-87.657161653,"{'latitude': '41.742390026', 'longitude': '-87.657161653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6765,12000610,JD175424,2020-03-05T19:08:00.000,075XX S NORMAL AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0621,006,6,69,05,1174348,1855011,2020,2020-03-12T15:47:33.000,41.757547489,-87.636602658,"{'latitude': '41.757547489', 'longitude': '-87.636602658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6766,12000234,JD174964,2020-03-05T12:23:00.000,010XX N LOREL AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,True,False,1524,015,37,25,05,1140487,1906312,2020,2020-03-24T15:47:26.000,41.899010802,-87.759444459,"{'latitude': '41.899010802', 'longitude': '-87.759444459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6767,12003763,JD179394,2020-03-04T11:00:00.000,051XX W WASHINGTON BLVD,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1533,015,28,25,05,1142219,1900020,2020,2020-03-12T15:45:15.000,41.88171283,-87.753239038,"{'latitude': '41.88171283', 'longitude': '-87.753239038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6768,12000901,JD175773,2020-03-05T16:30:00.000,032XX W LAKE ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,1123,011,28,27,05,1154660,1901097,2020,2020-03-12T15:47:33.000,41.88442838,-87.707526851,"{'latitude': '41.88442838', 'longitude': '-87.707526851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6769,12000630,JD174505,2020-03-05T03:13:00.000,047XX N MILWAUKEE AVE,0610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,False,False,1623,016,45,15,05,1140440,1930676,2020,2020-03-12T15:47:33.000,41.965868984,-87.759017637,"{'latitude': '41.965868984', 'longitude': '-87.759017637', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6770,12000888,JD175784,2020-03-05T17:20:00.000,052XX W RACE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,1523,015,37,25,05,1141370,1903051,2020,2020-04-07T15:48:40.000,41.890045974,-87.756281743,"{'latitude': '41.890045974', 'longitude': '-87.756281743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6771,12002330,JD177580,2020-03-05T01:00:00.000,013XX W 48TH ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,0933,009,20,61,05,1168285,1872936,2020,2020-03-12T15:47:33.000,41.806868474,-87.658307018,"{'latitude': '41.806868474', 'longitude': '-87.658307018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6772,12000657,JD175574,2020-03-05T22:29:00.000,063XX S LOOMIS BLVD,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,0724,007,16,67,05,1168086,1862628,2020,2020-03-12T15:47:33.000,41.778586399,-87.659333289,"{'latitude': '41.778586399', 'longitude': '-87.659333289', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6773,12187444,JD392458,2020-10-08T03:30:00.000,012XX W 97TH PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,2213,022,21,73,05,1169692,1840190,2020,2020-10-15T15:56:28.000,41.716978786,-87.654094946,"{'latitude': '41.716978786', 'longitude': '-87.654094946', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6774,12188442,JD393565,2020-10-08T19:00:00.000,013XX W 112TH PL,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2234,022,34,75,05,1169218,1830117,2020,2020-10-15T15:56:28.000,41.689347127,-87.656121111,"{'latitude': '41.689347127', 'longitude': '-87.656121111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6775,12121725,JD301257,2020-07-18T01:34:00.000,009XX E 84TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0632,006,8,44,05,1184266,1849496,2020,2020-08-05T15:51:40.000,41.74218759,-87.600427026,"{'latitude': '41.74218759', 'longitude': '-87.600427026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6776,12188046,JD393137,2020-10-08T07:30:00.000,062XX S WHIPPLE ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0823,008,16,66,05,1157122,1863107,2020,2020-10-15T15:56:28.000,41.780129628,-87.699515339,"{'latitude': '41.780129628', 'longitude': '-87.699515339', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6777,12119225,JD312779,2020-06-12T17:00:00.000,003XX W 109TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,0513,005,34,49,05,1175900,1832642,2020,2020-07-31T15:45:55.000,41.696129349,-87.631583133,"{'latitude': '41.696129349', 'longitude': '-87.631583133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6778,12119059,JD312671,2020-07-24T02:00:00.000,009XX W 71ST ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0733,007,6,68,05,1171449,1857762,2020,2020-07-31T15:48:20.000,41.765160516,-87.647146658,"{'latitude': '41.765160516', 'longitude': '-87.647146658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6779,12188228,JD393328,2020-10-08T22:40:00.000,056XX N KEYSTONE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,True,False,1711,017,39,13,05,1148378,1937084,2020,2020-11-12T15:48:06.000,41.983303254,-87.729664851,"{'latitude': '41.983303254', 'longitude': '-87.729664851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6780,12116096,JD308604,2020-07-24T17:07:00.000,019XX W CHICAGO AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESTAURANT,False,False,1212,012,1,24,05,1163365,1905356,2020,2020-07-31T15:48:20.000,41.895936771,-87.67544105,"{'latitude': '41.895936771', 'longitude': '-87.67544105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
